energy_eV,sample_background_counts_fit,ob_background_counts_fit
0.0300411765496,375.699582714,428.42142536
0.030156572073,373.336250101,425.943828078
0.030272410859,371.048938718,423.54300192
0.0303886946101,368.835494118,421.216874348
0.0305054250356,366.693837177,418.963441596
0.0306226038513,364.621960931,416.780765916
0.0307402327795,362.617927553,414.666972936
0.0308583135493,360.679865475,412.620249146
0.0309768478963,358.80596664,410.638839484
0.0310958375628,356.994483879,408.721045039
0.0312152842977,355.243728413,406.865220843
0.0313351898569,353.552067461,405.069773767
0.0314555560026,351.917921962,403.333160503
0.0315763845043,350.339764397,401.653885635
0.0316976771378,348.816116708,400.030499792
0.0318194356861,347.345548309,398.461597882
0.0319416619388,345.92667419,396.945817396
0.0320643576925,344.558153099,395.481836786
0.0321875247507,343.238685806,394.068373916
0.0323111649238,341.967013443,392.704184568
0.032435280029,340.741915917,391.388061021
0.0325598718908,339.562210391,390.118830681
0.0326849423405,338.426749831,388.895354769
0.0328104932165,337.334421614,387.716527072
0.0329365263641,336.284146197,386.581272729
0.033063043636,335.274875844,385.488547081
0.0331900468917,334.305593405,384.437334562
0.033317537998,333.375311145,383.426647635
0.033445518829,332.483069626,382.455525771
0.0335739912657,331.627936638,381.523034471
0.0337029571965,330.809006163,380.628264323
0.0338324185171,330.0253974,379.770330105
0.0339623771303,329.276253812,378.948369914
0.0340928349464,328.560742228,378.161544336
0.034223793883,327.87805197,377.409035645
0.034355255865,327.227394024,376.69004704
0.0344872228246,326.608000243,376.003801904
0.0346196967017,326.019122579,375.349543096
0.0347526794434,325.46003235,374.726532272
0.0348861730045,324.930019535,374.134049232
0.035020179347,324.428392101,373.571391288
0.0351547004408,323.95447535,373.037872663
0.035289738263,323.507611299,372.53282391
0.0354252947987,323.087158085,372.055591353
0.0355613720402,322.692489386,371.605536552
0.0356979719877,322.322993874,371.182035783
0.0358350966492,321.978074688,370.784479549
0.03597274804,321.657148924,370.412272095
0.0361109281837,321.359647146,370.064830958
0.0362496391111,321.085012923,369.741586516
0.0363888828612,320.832702376,369.441981572
0.0365286614807,320.602183749,369.165470942
0.0366689770241,320.392936993,368.911521063
0.0368098315539,320.204453367,368.679609615
0.0369512271405,320.036235058,368.469225159
0.0370931658622,319.887794813,368.279866788
0.0372356498053,319.758655587,368.111043788
0.0373786810642,319.648350202,367.962275317
0.0375222617412,319.556421024,367.833090094
0.0376663939468,319.482419651,367.7230261
0.0378110797995,319.42590661,367.631630288
0.0379563214261,319.38645107,367.558458309
0.0381021209613,319.363630569,367.503074244
0.0382484805483,319.357030741,367.465050348
0.0383954023384,319.366245066,367.443966804
0.0385428884911,319.390874624,367.439411486
0.0386909411742,319.430527859,367.450979729
0.038839562564,319.48482035,367.478274116
0.0389887548449,319.553374602,367.520904258
0.03913852021,319.635819828,367.578486599
0.0392888608606,319.731791757,367.650644217
0.0394397790065,319.840932438,367.737006639
0.039591276866,319.962890056,367.837209659
0.0397433566659,320.097318758,367.950895166
0.0398960206415,320.24387848,368.077710976
0.040049271037,320.402234787,368.217310676
0.0402031101047,320.572058718,368.369353464
0.0403575401061,320.753026632,368.533504007
0.0405125633109,320.94482007,368.709432298
0.0406681819979,321.147125615,368.896813517
0.0408243984544,321.35963476,369.095327903
0.0409812149766,321.582043785,369.304660629
0.0411386338695,321.814053631,369.524501676
0.0412966574469,322.055369789,369.754545726
0.0414552880317,322.30570219,369.994492044
0.0416145279554,322.564765093,370.244044374
0.0417743795587,322.832276989,370.502910836
0.0419348451912,323.107960505,370.770803831
0.0420959272115,323.391542306,371.047439941
0.0422576279874,323.68275301,371.332539846
0.0424199498955,323.981327104,371.625828234
0.042582895322,324.287002861,371.927033716
0.0427464666617,324.599522264,372.235888754
0.0429106663191,324.918630933,372.552129577
0.0430754967075,325.244078051,372.875496115
0.04324096025,325.575616302,373.205731925
0.0434070593784,325.913001805,373.542584127
0.0435737965343,326.255994052,373.885803342
0.0437411741685,326.604355851,374.235143627
0.0439091947413,326.957853271,374.590362419
0.0440778607222,327.316255588,374.951220482
0.0442471745905,327.679335238,375.317481849
0.0444171388349,328.046867767,375.688913778
0.0445877559537,328.418631785,376.065286697
0.0447590284546,328.794408927,376.446374162
0.0449309588551,329.173983809,376.831952813
0.0451035496825,329.55714399,377.221802331
0.0452768034736,329.943679936,377.615705398
0.0454507227749,330.333384987,378.013447659
0.0456253101429,330.726055319,378.414817688
0.0458005681438,331.121489919,378.819606951
0.0459764993537,331.519490551,379.227609773
0.0461531063584,331.919861733,379.63862331
0.0463303917539,332.322410706,380.052447515
0.0465083581461,332.726947411,380.468885115
0.0466870081509,333.133284466,380.887741577
0.0468663443941,333.541237144,381.308825091
0.0470463695118,333.950623353,381.73194654
0.04722708615,334.361263615,382.156919478
0.0474084969652,334.772981047,382.58356011
0.0475906046238,335.185601345,383.011687268
0.0477734118026,335.598952769,383.441122397
0.0479569211886,336.012866123,383.871689531
0.0481411354791,336.427174748,384.303215276
0.0483260573818,336.8417145,384.735528796
0.0485116896149,337.256323743,385.168461795
0.0486980349069,337.670843336,385.601848504
0.0488850959969,338.085116619,386.035525661
0.0490728756343,338.498989407,386.469332505
0.0492613765794,338.912309975,386.903110758
0.0494506016028,339.324929052,387.336704614
0.049640553486,339.736699812,387.769960728
0.0498312350208,340.147477864,388.202728201
0.0500226490102,340.557121245,388.634858577
0.0502147982677,340.965490412,389.066205825
0.0504076856175,341.372448236,389.496626333
0.050601313895,341.777859993,389.925978899
0.0507956859461,342.181593361,390.354124721
0.0509908046279,342.58351841,390.780927386
0.0511866728084,342.9835076,391.206252869
0.0513832933666,343.38143577,391.629969516
0.0515806691926,343.777180138,392.051948042
0.0517788031875,344.170620292,392.472061522
0.0519776982636,344.561638186,392.890185385
0.0521773573445,344.950118134,393.306197403
0.0523777833649,345.335946807,393.719977687
0.0525789792707,345.719013224,394.131408682
0.0527809480194,346.09920875,394.540375155
0.0529836925795,346.476427092,394.946764192
0.0531872159312,346.850564289,395.350465191
0.0533915210659,347.221518712,395.751369854
0.0535966109868,347.589191055,396.149372183
0.0538024887083,347.953484332,396.54436847
0.0540091572566,348.31430387,396.936257293
0.0542166196695,348.671557305,397.324939507
0.0544248789964,349.025154574,397.710318241
0.0546339382984,349.375007912,398.092298886
0.0548438006484,349.721031843,398.470789094
0.0550544691311,350.063143176,398.845698766
0.0552659468432,350.401260996,399.216940048
0.0554782368929,350.735306662,399.584427321
0.0556913424008,351.065203792,399.948077197
0.0559052664992,351.390878265,400.307808509
0.0561200123325,351.712258208,400.663542304
0.0563355830572,352.029273988,401.015201834
0.0565519818419,352.341858206,401.36271255
0.0567692118673,352.64994569,401.706002093
0.0569872763266,352.953473481,402.045000283
0.0572061784249,353.252380832,402.379639116
0.0574259213798,353.546609191,402.709852747
0.0576465084212,353.836102195,403.035577488
0.0578679427916,354.120805663,403.356751794
0.0580902277457,354.40066758,403.673316258
0.0583133665507,354.67563809,403.985213594
0.0585373624867,354.945669485,404.292388634
0.0587622188459,355.210716193,404.594788313
0.0589879389335,355.470734768,404.892361659
0.0592145260673,355.725683875,405.185059785
0.0594419835778,355.975524281,405.472835871
0.0596703148084,356.220218841,405.755645163
0.0598995231152,356.459732485,406.033444948
0.0601296118673,356.694032204,406.306194555
0.0603605844467,356.92308704,406.573855332
0.0605924442484,357.146868068,406.83639064
0.0608251946805,357.365348382,407.093765836
